[0701/141228.673:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0705/131700.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131700.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131702.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131705.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131705.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131707.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131710.358:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131710.906:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131712.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131715.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131715.929:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131717.401:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131720.399:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131720.944:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131722.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131725.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131725.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131727.440:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131730.441:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131730.980:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131732.469:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131735.458:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131736.007:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131737.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131740.470:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131741.023:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131742.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131745.484:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131746.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131747.528:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131750.512:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131751.062:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131752.540:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131755.524:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131756.083:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131757.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131800.547:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131801.109:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131802.589:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131805.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131806.128:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131807.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131810.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131811.151:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131812.623:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131815.658:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131816.166:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131817.640:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131820.680:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131821.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131822.671:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131825.704:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131826.205:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131827.699:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131830.720:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131831.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131832.717:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131835.739:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131836.238:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131837.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131840.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131841.248:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131842.761:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131845.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131846.265:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131847.784:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131850.799:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131851.285:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131852.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131855.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131856.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131857.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131900.828:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131901.317:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131902.832:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131905.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131906.343:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131907.858:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131910.860:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131911.362:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131912.883:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131915.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131916.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131917.910:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131920.896:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131921.400:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131922.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131925.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131926.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131927.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131930.935:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131931.445:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131932.982:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131935.961:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131936.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131938.007:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131940.978:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131941.484:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131943.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131946.010:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131946.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131948.047:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131951.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131951.526:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131953.067:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131956.038:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131956.540:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/131958.085:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132001.060:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132001.550:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132003.102:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132006.073:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132006.563:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132008.125:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132011.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132011.590:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132013.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132016.096:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132016.611:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132018.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132021.121:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132021.633:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0705/132023.184:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/121131.133:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0709/131848.788:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0709/131848.795:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/131848.797:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/131848.895:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0709/171147.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171151.835:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171152.519:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171153.963:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171156.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171157.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171158.981:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171201.889:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/171202.588:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183901.348:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183906.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183911.369:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183916.386:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183921.396:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183926.412:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183931.427:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183936.436:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183941.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183946.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183951.478:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/183956.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184001.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184006.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184011.537:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184016.554:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184021.570:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184026.579:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184031.594:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184036.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184041.640:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184046.663:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184051.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184056.706:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184101.719:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184106.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184112.016:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184117.040:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184122.053:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184127.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184132.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184137.122:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184142.140:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/184147.156:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/185428.457:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195122.898:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195127.920:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195132.936:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195137.948:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195142.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195147.971:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195152.980:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195157.984:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195202.994:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195208.012:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195213.025:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195218.037:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195223.056:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195228.061:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195233.080:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195238.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195243.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195248.114:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195253.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195258.136:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195303.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195308.152:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195313.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195318.174:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195323.184:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195328.194:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195333.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195338.228:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
